data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9197626,729,SUD16632,16632,31-Dec-21,2021,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,4,Civilians (Sudan),Police Forces of Sudan (2019-),7,47,Northern Africa,Sudan,Central Darfur,Wadi Salih,,Garsila,12.3853,23.1414,2,Twitter,New media,"On 31 December 2021, four armed men (assumed Darfur communal militia), on camels, shot and killed a police officer [assumed off duty] inside his home in Telenga area (Wadi Salih locality, Central Darfur state). [Coded to admin headquarters, Garsila].",1,1652126674,SDN
8706358,729,SUD16188,16188,30-Dec-21,2021,1,Strategic developments,Looting/property destruction,Darfur Communal Militia (Sudan),Pastoralists (Sudan),4,Civilians (Sudan),,7,47,Northern Africa,Sudan,North Darfur,Tawila,,Kadareik,13.347,25.0787,2,Radio Dabanga,National,"Looting: On 30 December 2021, five armed men, on camels and motorcycles, looted money and phones from a passenger vehicle travelling along the Nyala-El Fasher road, near Kadareik (Tawila locality, North Darfur state).",0,1641863887,SDN
8706372,729,SUD16191,16191,30-Dec-21,2021,1,Violence against civilians,Attack,Police Forces of Sudan (2019-),Military Forces of Sudan (2019-); Military Forces of Sudan (2019-) Rapid Support Forces,1,Civilians (Sudan),Journalists (Sudan),7,17,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,Radio Dabanga,National,"On 30 December 2021, joint security forces (assumed police, military and RSF), stormed the offices and attacked staff of Al-Arabiya, Al-Hadath, Al-Sharq channels, and Sky News Arabia, and beat journalists in Khartoum (Khartoum state).",0,1641863887,SDN
8706400,729,SUD16205,16205,30-Dec-21,2021,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,4,Civilians (Sudan),Labour Group (Sudan),7,47,Northern Africa,Sudan,North Darfur,Tawila,,Tabit,13.3142,25.0882,2,Radio Dabanga,National,"On 30 December 2021, armed men (presumed Darfur Communal Militia) attacked a vehicle (a coal-charger lorry) traveling from Dobo Umda to El Fasher, near Tabit (Tawila locality, North Darfur state). One person was killed and two others were injured. The armed men looted the vehicle.",1,1641863887,SDN
8706414,729,SUD16206,16206,30-Dec-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Government of Sudan (2019-),7,37,Northern Africa,Sudan,Central Darfur,Um Dukhun,,Umm Dukhun,11.1359,22.9615,1,Radio Dabanga,National,"On 30 December 2021, unidentified gunmen attacked the residential home of the city mayor of Umm Dukhun, killing one person and injuring two others in Umm Dukhun (Um Dukhun locality, Central Darfur state).",1,1641863887,SDN
8793857,729,SUD16198,16198,30-Dec-21,2021,1,Riots,Violent demonstration,Rioters (Sudan),Resistance Committees (Sudan),5,Police Forces of Sudan (2019-),Military Forces of Sudan (2019-),1,15,Northern Africa,Sudan,Khartoum,Omdurman,,Omdurman,15.6573,32.4739,1,Radio Dabanga,National,"On 30 December 2021, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Omdurman (Khartoum state) to reject the political agreement between the reinstated prime minister and military leaders. Security forces (presumed police and military forces) fired teargas canisters and live bullets to disperse the crowd. Six people were killed, 297 demonstrators and 49 policemen were injured and three police vehicles were burned. [size=tens of thousands]",6,1643045661,SDN
8793865,729,SUD16193,16193,30-Dec-21,2021,1,Protests,Excessive force against protesters,Protesters (Sudan),Resistance Committees (Sudan),6,Police Forces of Sudan (2019-),Military Forces of Sudan (2019-),1,16,Northern Africa,Sudan,Khartoum,Bahri,,Khartoum North,15.6365,32.5303,1,Radio Dabanga,National,"On 30 December 2021, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Khartoum North (Bahri locality, Khartoum state) to reject the political agreement between the former prime minister and military leaders. Security forces (presumed police and military forces) fired teargas canisters and live bullets to disperse the crowd. At least 50 people were injured and several others were arrested. [size=tens of thousands]",0,1643045661,SDN
8793866,729,SUD16192,16192,30-Dec-21,2021,1,Protests,Excessive force against protesters,Protesters (Sudan),Resistance Committees (Sudan); Civilians (Sudan); Journalists (Sudan),6,Police Forces of Sudan (2019-),Military Forces of Sudan (2019-),1,16,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,Radio Dabanga,National,"On 30 December 2021, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in front of the republican palace in Khartoum (Khartoum state) to reject the political agreement between the reinstated prime minister and military leaders. Security forces (presumed police and military forces) fired teargas canisters and live bullets to disperse the crowd. At least 50 people were injured including journalists. [size=tens of thousands]",0,1643045661,SDN
9197624,729,SUD16179,16179,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,East Darfur,Ad Duayn,,Ed Daein,11.4619,26.1258,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Ed Daein (Ad Duayn locality, East Darfur state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197644,729,SUD16201,16201,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Al Jazirah,Sharg Al Jazirah,,Rufaah,14.7644,33.3598,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Rufaah (Sharg Al Jazirah locality, Al Jazirah state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197652,729,SUD16180,16180,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Blue Nile,Ed Damazine,,Ed Damazin,11.7898,34.3599,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Ed Damazin (Ed Damazine locality, Blue Nile state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197657,729,SUD16196,16196,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Kassala,Halfa Aj Jadeedah,,New Halfa,15.3269,35.6081,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in New Halfa (Halfa Aj Jadeedah locality, Kassala state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197674,729,SUD16209,16209,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Central Darfur,Zalingi,,Zalingei,12.9075,23.4706,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Zalingei (Zalingi locality, Central Darfur state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197675,729,SUD16186,16186,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Gedaref,Madeinat Al Gedaref,,Gedaref,14.0479,35.3884,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Gedaref (Madeinat Al Gedaref locality, Gedaref state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197693,729,SUD16194,16194,30-Dec-21,2021,1,Protests,Protest with intervention,Protesters (Sudan),Resistance Committees (Sudan),6,Police Forces of Sudan (2019-),Military Forces of Sudan (2019-),1,16,Northern Africa,Sudan,White Nile,Kosti,,Kosti,13.1485,32.6675,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Kosti (White Nile state) to reject the political agreement between the reinstated prime minister and military leaders. The security forces (police and military) fired teargas canisters and stun grenade to disperse the crowd. [size=no report]",0,1652126674,SDN
9197710,729,SUD16195,16195,30-Dec-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,West Kordofan,Al Lagowa,,Lagawa,11.4001,29.1224,1,Twitter,New media,"On 30 December 2021, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Lagawa (Al Lagowa locality, West Kordofan state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1652126674,SDN
